"filename", "language", "YAML", "Groovy", "Properties", "JSON", "Dart", "C++", "XML", "Markdown", "HTML", "Swift", "comment", "blank", "total"
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/build.gradle", "Groovy", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 70
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/google-services.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/build.gradle", "Groovy", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Componenets/background.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/login.dart", "Dart", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 7, 146
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/register.dart", "Dart", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 1, 10, 184
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/dashboard.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/main.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 10, 4, 36
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/presence.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/pubspec.yaml", "YAML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 97
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 18, 7, 105
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 5, 12
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 13, 62
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 15, 48, 246
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 26, 92, 8, 219, 417, 405, 123, 13, 80, 12, 248, 243, 1886